Year,ESD,District,School,K-12 Total Enrollment,Do teacher librarians have a role in supporting technology integration in your building?,"Number of Classrooms (including portables used as classrooms, labs, and library)",Number of classrooms with wired or wireless  Internet access,Does this building have a Wide-Area Network (WAN) link to your district office ?,Less than 10 MB,10-99 MB,100-999 MB,1 GB or higher,Does your building provide wireless access to the Internet?,One classroom or meeting room only?,"More than one classroom or meeting room, but not building-wide?",Central areas throughout building (but not one WAP/classroom)?,The entire building?,Number of assistive/adaptive technology devices for dedicated use by students with an IEP or 504 :,Number of Students with School-(or District) Provided E-mail Accounts,"Do you have one or more grades in your school that have a one-to-one initiative (e.g., laptops, tablets, netbooks)?","If yes, please describe:","If yes, are students allowed to take devices home?", List other district-owned wireless handheld devices that you make available for instructional use:,Number of Instructional Laptops,Number of Instructional Desktops,Number of Instructional Netbooks,Number of Instructional Tablets,Number of Instructional Thin Clients,Number of Windows XP OS,Number of Windows 7 OS,Number of Windows8/8.1 OS,Number of Windows 10 OS,Number of Other Windows OS,Number of Linux OS,Number of Mac OS X 10.4 or lower,Number of Mac OS X 10.5 or higher,Number of iOS,Number of Android,Number of Google Chrome,Devices with screen resolution less than 1024 x 768,Devices with screen resolution 1024 x 768 or higher,Devices with screen size less than 9.5 inch,Devices with screen size 10 inch or larger,Devices with RAM less than 1 GB,Devices with RAM 1 GB or higher,Number of multimedia projectors:,"Number of digital media receivers (e.g., Apple TV):",Number of flat panel displays used for displaying teacher lessons (32 inches or larger):,Number of document cameras:,"Number of whole classroom interactive devices (i.e., SMARTBoards, Promethean, Hitachi, etc.)","Number of mobile and wireless interactive slates or tablets (for example, Mobi, Airliners, iPad):","Number of student response systems (number of sets, not individual responder units):",Number of learning environments that provide a classroom amplification system,DistrictWANspeed,SchoolWirelessScope
2015,189,Arlington School District,Kent Prairie Elementary,612,1,33,33,1,0,0,0,1,1,0,0,0,1,2,0,0,,0,,60,60,0,300,0,0,0,0,,0,0,0,60,300,0,60,0,420,0,420,0,420,29,5,0,29,14,7,5,2,,
2015,189,Arlington School District,Pioneer Elementary,603,1,29,29,1,0,0,0,1,1,0,0,0,1,1,0,0,,0,,72,69,9,141,0,9,36,0,,0,0,0,45,141,0,60,0,291,42,249,0,291,29,0,0,29,2,0,0,0,,
2015,189,Arlington School District,Post Middle School,568,1,43,43,1,0,0,0,1,1,0,0,0,1,1,0,0,,0,,190,120,0,25,0,0,28,0,,0,0,0,102,25,0,180,0,335,25,310,0,335,30,0,0,30,15,0,2,0,,
2015,189,Arlington School District,Presidents Elementary,545,1,31,31,1,0,0,0,1,1,0,0,0,1,1,0,0,,0,,90,60,30,200,0,0,60,0,,0,0,0,0,200,0,120,0,380,0,380,0,380,24,1,0,23,2,1,2,1,,
2015,189,Arlington School District,Stillaguamish School,131,0,12,12,1,0,0,1,0,1,0,0,0,1,0,0,0,,0,,56,26,0,0,0,46,0,0,,0,0,0,6,0,0,30,0,82,0,82,0,82,9,0,0,9,2,0,0,0,,
2015,189,Arlington School District,Weston High School,132,0,12,12,1,0,0,0,1,1,0,0,0,1,0,0,1,Student's that need to finish their schoolwork can request to check out a laptop to take home to catch up on their assignments.,1,,40,90,0,0,0,21,69,0,,0,0,0,0,0,0,40,0,130,0,130,0,130,10,0,0,10,2,0,0,1,,
2015,123,Asotin-Anatone School District,Asotin Elementary,270,0,18,18,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,,33,58,0,72,0,0,87,0,,0,0,0,0,72,0,4,0,163,72,91,0,163,18,0,0,18,12,2,5,0,,
2015,123,Asotin-Anatone School District,Asotin Jr Sr High,341,0,22,22,1,0,0,1,0,1,0,0,0,1,0,314,1,"Using them for Science and Social Studies class, math, English",0,no,204,140,0,25,0,0,198,26,,0,0,0,0,25,0,120,0,369,25,344,25,344,22,0,0,22,22,1,3,0,,
2015,121,Auburn School District,Alpac Elementary School,497,1,31,31,1,0,0,1,0,1,0,1,0,0,3,0,0,,0,,31,95,0,0,0,7,119,0,,0,0,0,0,0,0,0,0,126,0,126,0,126,31,0,0,31,1,1,1,0,,
2015,121,Auburn School District,Arthur Jacobsen Elementary,576,1,29,29,1,0,0,1,0,1,0,1,0,0,3,0,0,,0,,232,74,0,0,0,4,131,0,,0,0,0,0,0,0,171,0,306,0,306,171,135,29,0,0,29,2,1,2,0,,
2015,121,Auburn School District,Auburn Mountainview High School,1532,1,63,63,1,0,0,1,0,1,0,0,1,0,1,0,0,,0,,201,467,0,2,0,98,404,0,,0,0,0,30,2,0,136,0,670,2,668,138,532,63,0,0,63,3,40,5,0,,
2015,121,Auburn School District,Auburn Riverside High School,1635,1,70,70,1,0,0,1,0,1,0,1,0,0,4,0,0,,0,,285,429,0,0,0,93,426,0,,0,0,0,0,0,0,195,0,714,0,714,195,519,70,0,0,70,10,4,8,0,,
2015,121,Auburn School District,Auburn Senior High School,1549,1,105,105,1,0,0,1,0,1,0,0,0,1,19,0,0,,0,,287,452,0,0,0,55,378,0,,0,0,0,36,0,0,270,0,739,0,739,270,469,105,0,0,105,3,14,6,0,,
2015,121,Auburn School District,Cascade Middle School,735,1,38,38,1,0,0,1,0,1,0,1,0,0,10,0,0,,0,,279,129,15,0,0,91,122,0,,0,0,0,0,0,0,210,0,423,0,423,210,213,38,0,0,38,4,2,2,0,,
2015,121,Auburn School District,Chinook Elementary School,373,1,26,26,1,0,0,1,0,1,0,0,1,0,5,0,0,,0,,2,111,0,0,0,100,11,0,,0,0,0,0,0,0,2,0,113,0,113,2,111,26,0,0,26,1,1,1,0,,
2015,121,Auburn School District,Dick Scobee Elementary School,499,1,26,26,1,0,0,1,0,1,0,1,0,0,1,0,0,,0,,0,96,0,0,0,2,94,0,,0,0,0,0,0,0,0,0,96,0,96,0,96,26,0,0,26,1,1,3,0,,
2015,121,Auburn School District,Evergreen Heights Elementary,529,1,23,23,1,0,0,1,0,1,0,1,0,0,0,0,0,,0,,0,125,0,0,0,4,121,0,,0,0,0,0,0,0,0,0,125,0,125,0,125,23,0,0,23,1,1,1,0,,
2015,121,Auburn School District,Gildo Rey Elementary School,583,1,35,35,1,0,0,1,0,1,0,0,1,0,1,0,0,,0,,30,101,0,0,0,55,76,0,,0,0,0,0,0,0,0,0,131,0,131,0,131,35,0,0,35,2,1,2,0,,
2015,121,Auburn School District,Hazelwood Elementary School,573,1,28,28,1,0,0,1,0,1,0,1,0,0,0,0,0,,0,,57,147,0,0,0,52,95,0,,0,0,0,0,0,0,57,0,204,0,204,57,147,28,0,0,28,1,1,1,0,,
2015,121,Tacoma School District,Pearl Street Center,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,
2015,121,Auburn School District,Ilalko Elementary School,625,1,36,36,1,0,0,1,0,1,0,1,0,0,4,0,0,,0,,0,143,0,0,0,37,106,0,,0,0,0,0,0,0,0,0,143,0,143,0,143,36,0,0,36,1,1,7,0,,
2015,121,Auburn School District,Lake View Elementary School,339,1,28,28,1,0,0,1,0,1,0,1,0,0,4,0,0,,0,,15,83,0,0,0,26,72,0,,0,0,0,0,0,0,0,0,98,0,98,0,98,28,0,0,28,1,1,3,0,,
2015,121,Auburn School District,Lakeland Hills Elementary,669,1,28,28,1,0,0,1,0,1,0,0,1,0,0,0,0,,0,,30,166,0,0,0,0,181,0,,0,0,0,0,0,0,15,0,196,0,196,15,181,28,0,0,28,1,1,12,0,,
2015,121,Auburn School District,Lea Hill Elementary School,367,1,27,27,1,0,0,1,0,1,0,0,1,0,1,0,0,,0,,0,100,0,0,0,0,100,0,,0,0,0,0,0,0,0,0,100,0,100,0,100,27,0,0,27,1,1,2,0,,
2015,121,Auburn School District,Mt Baker Middle School,914,1,39,39,1,0,0,1,0,1,0,0,1,0,0,0,0,,0,,96,189,0,0,0,83,164,0,,0,0,0,2,0,0,36,0,285,0,285,36,249,39,0,0,39,1,1,1,0,,
2015,121,Auburn School District,Olympic Middle School,703,1,47,47,1,0,0,1,0,1,0,1,0,0,6,0,0,,0,,569,142,15,4,0,55,151,0,,0,0,0,0,4,0,520,0,730,4,726,524,206,47,0,0,47,2,1,9,0,,
2015,121,Auburn School District,Pioneer Elementary School,488,1,26,26,1,0,0,1,0,1,0,0,1,0,0,0,0,,0,,161,73,0,89,0,16,90,0,,0,0,0,0,89,0,128,0,323,89,234,217,106,26,0,0,26,1,1,1,4,,
2015,121,Auburn School District,Rainier Middle School,877,1,39,39,1,0,0,1,0,1,0,1,0,0,2,0,0,,0,,55,193,0,0,0,44,168,0,,0,0,0,0,0,0,36,0,248,0,248,36,212,39,0,0,39,1,1,2,0,,
2015,121,Auburn School District,Special Ed School,31,0,1,0,1,0,0,1,0,1,0,0,0,1,4,0,0,,0,,0,4,0,0,0,2,2,0,,0,0,0,0,0,0,0,0,4,0,4,0,4,1,0,0,1,0,0,0,0,,
2015,121,Auburn School District,Terminal Park Elementary School,410,1,23,23,1,0,0,1,0,1,0,0,1,0,0,0,0,,0,,30,82,0,0,0,0,112,0,,0,0,0,0,0,0,0,0,112,0,112,0,112,23,0,0,23,2,1,1,0,,
2015,121,Auburn School District,Washington Elementary School,458,1,24,24,1,0,0,1,0,1,0,0,1,0,6,0,0,,0,,36,84,0,0,0,49,35,0,,0,0,0,0,0,0,36,0,120,0,120,36,84,24,0,0,24,1,1,1,0,,
2015,121,Auburn School District,West Auburn Senior High School,260,1,14,14,1,0,0,1,0,1,0,1,0,0,0,0,0,,0,,37,141,0,0,0,27,114,0,,0,0,0,0,0,0,37,0,178,0,178,37,141,14,0,0,14,1,1,1,0,,
2015,121,Bainbridge Island School District,Bainbridge High School,1262,1,74,74,1,0,0,1,0,1,0,0,0,1,25,1222,0,,0,,295,235,0,394,0,0,530,0,,0,0,0,0,23,0,371,0,924,0,924,23,901,72,2,0,72,64,2,10,4,,
2015,121,Bainbridge Island School District,Capt Johnston Blakely Elem Sch,367,1,27,27,1,0,0,1,0,1,0,0,0,1,10,0,0,,0,,35,99,0,166,0,0,134,0,,0,0,0,0,166,0,0,0,300,0,300,30,270,25,0,0,25,25,1,1,8,,
2015,121,Bainbridge Island School District,Capt. Charles Wilkes Elem School,379,1,26,26,1,0,0,1,0,1,0,0,0,1,15,0,0,,0,,45,59,0,135,0,0,104,0,,0,0,0,0,71,0,64,0,239,0,239,30,209,30,0,0,22,27,0,1,23,,
2015,121,Bainbridge Island School District,Eagle Harbor High School,144,0,8,8,1,0,0,1,0,1,0,0,0,1,0,134,0,,0,,15,54,0,0,0,0,69,0,,0,0,0,0,0,0,0,0,69,0,69,0,69,6,0,0,6,6,1,0,0,,
2015,121,Bainbridge Island School District,Mosaic Home Education Partnership,57,0,3,3,1,0,0,1,0,1,0,0,0,1,0,22,0,,0,,0,14,0,6,0,0,14,0,,0,0,0,0,4,0,2,0,20,0,20,4,16,3,0,0,3,2,0,0,0,,
2015,121,Bainbridge Island School District,Odyssey Multiage Program,126,0,5,5,1,0,0,1,0,1,0,0,0,1,7,76,0,,0,,45,42,0,4,0,0,87,0,,0,0,0,0,4,0,0,0,91,0,91,4,87,5,0,0,5,5,1,0,0,,
2015,121,Bainbridge Island School District,Ordway Elementary,385,1,31,31,1,0,0,1,0,1,0,0,0,1,25,0,0,,0,,51,30,0,131,0,0,81,0,,0,0,0,0,28,0,103,0,212,0,212,30,182,31,0,0,31,31,0,2,3,,
2015,121,Bainbridge Island School District,Sakai Intermediate,574,1,34,34,1,0,0,1,0,1,0,0,0,1,10,575,0,,0,,123,145,30,245,0,0,298,0,,0,0,0,0,8,0,237,30,513,30,513,38,505,33,0,0,33,33,1,0,14,,
2015,121,Bainbridge Island School District,Woodward Middle School,538,1,34,34,1,0,0,1,0,1,0,0,0,1,8,546,0,,0,,67,101,30,180,0,0,198,0,,0,0,0,0,5,0,175,0,378,35,343,35,343,34,0,0,34,34,1,5,5,,
2015,112,Battle Ground School District,Amboy Middle School,620,1,40,40,1,0,0,1,0,1,0,0,0,1,0,635,0,,0,Barnes and Noble nooks (LAP program),216,96,0,0,0,102,0,0,,0,0,0,0,0,0,210,0,312,0,312,0,312,50,0,0,50,3,0,0,34,,
2015,112,Battle Ground School District,Battle Ground High School,2193,1,117,117,1,0,0,1,0,1,0,0,0,1,4,2100,0,,0,,0,243,200,0,0,243,0,0,,0,0,0,0,0,0,200,200,243,200,243,200,243,117,0,0,117,0,0,0,2,,
2015,112,Battle Ground School District,CAM Academy,587,0,20,20,1,0,0,1,0,1,0,0,0,1,0,584,0,,0,,154,60,0,23,0,0,60,0,,0,0,0,0,23,0,154,0,237,0,237,0,237,20,0,0,18,4,0,2,0,,
2015,112,Battle Ground School District,Captain Strong,642,1,35,35,1,0,0,1,0,1,0,0,0,1,1,649,0,,0,0,150,111,0,90,0,110,1,0,,0,0,0,0,90,0,150,0,351,0,351,0,351,29,0,0,29,5,0,0,15,,
2015,112,Battle Ground School District,Chief Umtuch Middle,592,1,35,35,1,0,0,1,0,1,0,0,0,1,4,588,0,,0,,220,73,0,9,0,53,30,0,,0,0,0,0,9,0,210,0,302,0,302,0,302,46,0,0,46,0,0,0,46,,
2015,112,Battle Ground School District,Daybreak Middle,509,1,36,36,1,0,0,1,0,1,0,0,0,1,0,502,0,,0,,330,147,0,10,0,91,56,0,,0,0,0,0,10,0,330,0,487,0,487,0,487,25,0,0,35,11,0,0,35,,
2015,112,Battle Ground School District,Daybreak Primary,570,1,39,39,1,0,0,1,0,1,0,0,0,1,0,0,0,,0,,150,127,0,76,0,125,78,0,,0,0,0,0,0,0,150,0,353,0,353,0,353,38,0,0,38,0,0,0,39,,
2015,112,Battle Ground School District,Glenwood Heights Primary,641,1,38,38,1,0,0,1,0,1,0,0,0,1,0,0,0,,0,,60,26,0,0,0,26,0,0,,0,0,0,0,0,0,60,0,86,0,86,0,86,32,0,0,32,32,32,0,0,,
2015,112,Battle Ground School District,Homelink River,976,0,23,23,1,0,0,1,0,1,0,0,0,1,0,976,0,,0,,185,48,0,0,0,0,49,0,,0,0,0,54,0,0,130,0,233,0,233,0,233,25,0,0,21,4,0,0,0,,
2015,112,Battle Ground School District,Laurin Middle School,594,1,36,36,1,0,0,1,0,1,0,0,0,1,2,612,0,,0,,287,122,5,66,0,23,121,0,,0,0,0,0,66,0,270,0,480,0,480,0,480,29,0,0,34,11,0,0,3,,
2015,112,Battle Ground School District,Maple Grove K-8,502,1,48,48,1,0,0,1,0,1,0,0,0,1,6,498,0,,0,,120,60,0,90,0,0,60,0,,0,0,0,0,90,0,120,0,270,0,270,0,270,2,2,3,48,3,143,0,1,,
2015,112,Battle Ground School District,Pleasant Valley Middle,497,1,27,27,1,0,0,1,0,1,0,0,0,1,1,495,0,,0,None,267,133,0,64,0,154,0,0,,0,0,0,0,64,0,246,0,464,0,464,0,464,30,0,0,30,1,0,0,0,,
2015,112,Battle Ground School District,Pleasant Valley Primary,603,1,30,30,1,0,0,1,0,1,0,0,0,1,1,589,0,,0,,222,42,0,72,0,24,30,0,,0,0,0,0,72,0,210,0,336,0,336,0,336,30,3,0,30,7,1,1,2,,
2015,112,Battle Ground School District,Prairie High School,1557,1,79,75,1,0,0,1,0,1,0,0,0,1,1,1300,0,,0,,295,226,0,0,0,226,295,0,,0,0,0,0,0,0,0,0,521,0,521,0,521,74,0,1,71,2,0,0,1,,
2015,112,Battle Ground School District,Summit View High School,412,1,10,10,1,0,0,1,0,1,0,0,0,1,0,400,0,,0,,30,15,0,5,0,0,15,0,,0,0,0,0,5,0,30,5,45,5,45,5,45,0,0,0,1,0,0,0,0,,
2015,112,Battle Ground School District,Tukes Valley Middle School,532,1,44,44,1,0,0,1,0,1,0,0,0,1,0,532,0,,0,,264,45,0,50,0,0,88,0,,0,0,0,0,50,0,221,0,359,0,359,0,359,34,0,1,44,32,0,3,44,,
2015,112,Battle Ground School District,Tukes Valley Primary,631,1,38,38,1,0,0,1,0,1,0,0,0,1,5,0,0,,0,,180,26,0,30,0,12,14,0,,0,0,0,0,30,0,180,0,236,0,236,0,236,40,0,0,40,3,0,0,40,,
2015,112,Battle Ground School District,Yacolt Primary,806,0,47,47,1,0,0,1,0,1,0,0,0,1,0,810,0,,0,,240,72,0,60,0,30,72,0,,0,0,0,0,60,0,210,0,372,0,372,0,372,32,0,0,37,5,0,0,0,,
2015,121,Bellevue School District,Ardmore Elementary School,343,0,28,28,1,0,0,1,0,1,0,0,0,1,10,0,0,,0,,130,149,0,0,0,0,279,0,,0,0,0,0,0,0,0,0,279,0,279,0,279,33,0,0,27,31,0,1,28,,
2015,121,Bellevue School District,Bellevue Big Picture School,343,0,28,28,1,0,0,1,0,1,0,0,0,1,10,344,1,"1:1 program, all grades can take laptops home",1,,344,36,0,0,0,0,0,380,,0,0,0,0,0,0,0,0,380,0,380,0,380,20,0,0,6,20,0,1,28,,
2015,121,Bellevue School District,Bellevue High School,1545,0,67,67,1,0,0,1,0,1,0,0,0,1,10,0,0,,0,,210,74,0,0,0,0,284,0,,0,0,0,0,0,0,0,0,284,0,284,0,284,70,0,0,16,67,2,12,67,,
2015,121,Bellevue School District,Bennett Elementary School,476,0,25,25,1,0,0,1,0,1,0,0,0,1,10,0,0,,0,,150,132,0,0,0,0,282,0,,0,0,0,0,0,0,0,0,282,0,282,0,282,26,0,0,25,26,0,1,25,,
2015,121,Bellevue School District,Central Educational Services,63,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,,0,,138,171,0,0,0,0,309,0,,0,0,0,0,0,0,0,0,309,0,309,0,309,20,0,0,14,16,0,1,3,,
2015,121,Bellevue School District,Cherry Crest Elementary School,573,0,34,34,1,0,0,1,0,1,0,0,0,1,10,0,0,,0,,160,166,0,0,0,0,326,0,,0,0,0,0,0,0,0,0,326,0,326,0,326,36,0,0,34,36,0,2,34,,
2015,121,Bellevue School District,Chinook Middle School,1026,0,46,46,1,0,0,1,0,1,0,0,0,1,10,0,0,,0,,356,149,0,0,0,0,505,0,,0,0,0,0,0,0,0,0,505,0,505,0,505,48,0,0,36,46,1,16,48,,
2015,121,Bellevue School District,Clyde Hill Elementary,662,1,34,34,1,0,0,1,0,1,0,0,0,1,10,0,0,,0,,160,225,0,0,0,0,385,0,,0,0,0,0,0,0,0,0,385,0,385,0,385,39,0,0,38,35,0,2,35,,
2015,121,Bellevue School District,Eastgate Elementary School,441,1,28,28,1,0,0,1,0,1,0,0,0,1,10,0,0,,0,,120,131,0,0,0,0,251,0,,0,0,0,0,0,0,0,0,251,0,251,0,251,33,0,0,30,29,1,1,29,,
2015,121,Bellevue School District,Enatai Elementary School,544,1,30,30,1,0,0,1,0,1,0,0,0,1,10,0,0,,0,,120,178,0,0,0,0,298,0,,0,0,0,0,0,0,0,0,298,0,298,0,298,30,0,0,29,30,0,1,30,,
2015,121,Bellevue School District,Highland Middle School,533,1,39,39,1,0,0,1,0,1,0,0,0,1,10,532,1,"1:1 program, all grades can take laptops home",1,,532,0,0,0,0,0,0,532,,0,0,0,0,0,0,0,0,532,0,532,0,532,42,0,2,33,39,0,8,39,,
2015,121,Bellevue School District,Interlake Senior High School,1590,1,62,62,1,0,0,1,0,1,0,0,0,1,10,0,0,,0,,301,163,0,0,0,0,464,0,,0,0,0,0,0,0,0,0,464,0,464,0,464,70,0,0,20,65,0,10,62,,
2015,121,Bellevue School District,International School,568,1,29,29,1,0,0,1,0,1,0,0,0,1,10,560,1,"1:1 program, all grades can take laptops home",1,,560,60,0,0,0,0,620,0,,0,0,0,0,0,0,0,0,620,0,620,0,620,35,0,0,19,29,0,8,29,,
2015,121,Bellevue School District,Jing Mei Elementary School,175,0,9,9,1,0,0,1,0,1,0,0,0,1,0,0,0,,,,60,58,0,0,0,0,118,0,,0,0,0,0,0,0,0,0,118,0,118,0,118,9,0,0,8,9,0,0,9,,
